"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/loss__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/loss__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/loss__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/loss__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/loss__MAX"
"10500","3820","3820","3820","1.2842628955841064","1.2842628955841064","1.2842628955841064","3820","3820","3820","1.203460931777954","1.203460931777954","1.203460931777954","3820","3820","3820","1.181234359741211","1.181234359741211","1.181234359741211","168460","168460","168460","1.1663058996200562","1.1663058996200562","1.1663058996200562","168208","168208","168208","1.2512004375457764","1.2512004375457764","1.2512004375457764","168208","168208","168208","1.179959774017334","1.179959774017334","1.179959774017334"
"11000","4002","4002","4002","1.2683634757995605","1.2683634757995605","1.2683634757995605","4002","4002","4002","1.20167076587677","1.20167076587677","1.20167076587677","4002","4002","4002","1.180627465248108","1.180627465248108","1.180627465248108","176482","176482","176482","1.1650196313858032","1.1650196313858032","1.1650196313858032","176230","176230","176230","1.2499842643737793","1.2499842643737793","1.2499842643737793","176230","176230","176230","1.1797375679016113","1.1797375679016113","1.1797375679016113"
"11500","4184","4184","4184","1.2578320503234863","1.2578320503234863","1.2578320503234863","4184","4184","4184","1.2009875774383545","1.2009875774383545","1.2009875774383545","4184","4184","4184","1.1804978847503662","1.1804978847503662","1.1804978847503662","184504","184504","184504","1.1649067401885986","1.1649067401885986","1.1649067401885986","184238","184238","184238","1.250698208808899","1.250698208808899","1.250698208808899","184238","184238","184238","1.1794499158859253","1.1794499158859253","1.1794499158859253"
"12000","4366","4366","4366","1.252361536026001","1.252361536026001","1.252361536026001","4366","4366","4366","1.2002257108688354","1.2002257108688354","1.2002257108688354","4366","4366","4366","1.179988980293274","1.179988980293274","1.179988980293274","192526","192526","192526","1.1642844676971436","1.1642844676971436","1.1642844676971436","192246","192246","192246","1.252120852470398","1.252120852470398","1.252120852470398","192246","192246","192246","1.1796000003814697","1.1796000003814697","1.1796000003814697"
"12500","4548","4548","4548","1.2465399503707886","1.2465399503707886","1.2465399503707886","4548","4548","4548","1.1993725299835205","1.1993725299835205","1.1993725299835205","4548","4548","4548","1.1799148321151733","1.1799148321151733","1.1799148321151733","200548","200548","200548","1.163774847984314","1.163774847984314","1.163774847984314","200254","200254","200254","1.2514622211456299","1.2514622211456299","1.2514622211456299","200254","200254","200254","1.179483413696289","1.179483413696289","1.179483413696289"
"13000","4730","4730","4730","1.2430955171585083","1.2430955171585083","1.2430955171585083","4730","4730","4730","1.2005797624588013","1.2005797624588013","1.2005797624588013","4730","4730","4730","1.1804050207138062","1.1804050207138062","1.1804050207138062","","","","","","","208262","208262","208262","1.2529929876327515","1.2529929876327515","1.2529929876327515","208262","208262","208262","1.180103063583374","1.180103063583374","1.180103063583374"
"13500","4912","4912","4912","1.2404223680496216","1.2404223680496216","1.2404223680496216","4912","4912","4912","1.1993632316589355","1.1993632316589355","1.1993632316589355","4912","4912","4912","1.180355429649353","1.180355429649353","1.180355429649353","","","","","","","216270","216270","216270","1.2529501914978027","1.2529501914978027","1.2529501914978027","216270","216270","216270","1.180079460144043","1.180079460144043","1.180079460144043"
"14000","5094","5094","5094","1.2385993003845215","1.2385993003845215","1.2385993003845215","5094","5094","5094","1.1983717679977417","1.1983717679977417","1.1983717679977417","5094","5094","5094","1.1794382333755493","1.1794382333755493","1.1794382333755493","","","","","","","224278","224278","224278","1.2539047002792358","1.2539047002792358","1.2539047002792358","224278","224278","224278","1.180965781211853","1.180965781211853","1.180965781211853"
"14500","5276","5276","5276","1.2368981838226318","1.2368981838226318","1.2368981838226318","5276","5276","5276","1.1981686353683472","1.1981686353683472","1.1981686353683472","5276","5276","5276","1.1798899173736572","1.1798899173736572","1.1798899173736572","","","","","","","232286","232286","232286","1.2523601055145264","1.2523601055145264","1.2523601055145264","232286","232286","232286","1.1807125806808472","1.1807125806808472","1.1807125806808472"
"15000","5458","5458","5458","1.2348334789276123","1.2348334789276123","1.2348334789276123","5458","5458","5458","1.1982966661453247","1.1982966661453247","1.1982966661453247","5458","5458","5458","1.179706335067749","1.179706335067749","1.179706335067749","","","","","","","240308","240308","240308","1.2532495260238647","1.2532495260238647","1.2532495260238647","240308","240308","240308","1.1798700094223022","1.1798700094223022","1.1798700094223022"
