"train/global_step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_1108_1024_4_1B_IgorsFull - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain/pretrain_2607_1024_4_1B - eval/avg_bleu__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - _step__MAX","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MIN","Qwen/Qwen3-8B-DKYoon/SlimPajama-6B-icae/data/checkpoints/pretrain_1207 - eval/avg_bleu__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - _step__MAX","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MIN","[fulldata-base]./checkpoints/icae_pile_pretrain_Qwen3-8b-FULLNEWDATA - eval/avg_bleu__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - _step__MAX","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MIN","[fastest]./checkpoints/icae_pile_pretrain_Qwen3-4b-NEWDATA-fastest - eval/avg_bleu__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - _step__MAX","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MIN","[+logs]./checkpoints/icae_pile_pretrain_Qwen3-8b-NEWDATA - eval/avg_bleu__MAX"
"10500","3821","3821","3821","0.832590068181319","0.832590068181319","0.832590068181319","3821","3821","3821","0.9415280379630323","0.9415280379630323","0.9415280379630323","3821","3821","3821","0.9277729053543897","0.9277729053543897","0.9277729053543897","168461","168461","168461","0.985372501775101","0.985372501775101","0.985372501775101","168209","168209","168209","0.9778029899251133","0.9778029899251133","0.9778029899251133","168209","168209","168209","0.9652481468272971","0.9652481468272971","0.9652481468272971"
"11000","4003","4003","4003","0.8039976969014553","0.8039976969014553","0.8039976969014553","4003","4003","4003","0.8809662068826543","0.8809662068826543","0.8809662068826543","4003","4003","4003","0.9376206248378773","0.9376206248378773","0.9376206248378773","176483","176483","176483","0.9865315126394432","0.9865315126394432","0.9865315126394432","176231","176231","176231","0.9796476729789129","0.9796476729789129","0.9796476729789129","176231","176231","176231","0.9667790028983057","0.9667790028983057","0.9667790028983057"
"11500","4185","4185","4185","0.8454218225813201","0.8454218225813201","0.8454218225813201","4185","4185","4185","0.9036093126879627","0.9036093126879627","0.9036093126879627","4185","4185","4185","0.9555586436994087","0.9555586436994087","0.9555586436994087","184505","184505","184505","0.9851398133535518","0.9851398133535518","0.9851398133535518","184239","184239","184239","0.9792321318461008","0.9792321318461008","0.9792321318461008","184239","184239","184239","0.9663729128523094","0.9663729128523094","0.9663729128523094"
"12000","4367","4367","4367","0.8632792361142222","0.8632792361142222","0.8632792361142222","4367","4367","4367","0.8945779596494081","0.8945779596494081","0.8945779596494081","4367","4367","4367","0.9695682738482242","0.9695682738482242","0.9695682738482242","192527","192527","192527","0.9864618696529652","0.9864618696529652","0.9864618696529652","192247","192247","192247","0.9783851750458213","0.9783851750458213","0.9783851750458213","192247","192247","192247","0.9663851934666452","0.9663851934666452","0.9663851934666452"
"12500","4549","4549","4549","0.8987831664499846","0.8987831664499846","0.8987831664499846","4549","4549","4549","0.9315922847939021","0.9315922847939021","0.9315922847939021","4549","4549","4549","0.9127284794103758","0.9127284794103758","0.9127284794103758","200549","200549","200549","0.9878084329866089","0.9878084329866089","0.9878084329866089","200255","200255","200255","0.9466559014709708","0.9466559014709708","0.9466559014709708","200255","200255","200255","0.9678450812849683","0.9678450812849683","0.9678450812849683"
"13000","4731","4731","4731","0.9101691438613664","0.9101691438613664","0.9101691438613664","4731","4731","4731","0.9417973957398548","0.9417973957398548","0.9417973957398548","4731","4731","4731","0.9652253183944788","0.9652253183944788","0.9652253183944788","","","","","","","208263","208263","208263","0.9810591017839009","0.9810591017839009","0.9810591017839009","208263","208263","208263","0.9627629395805399","0.9627629395805399","0.9627629395805399"
"13500","4913","4913","4913","0.9102066133356956","0.9102066133356956","0.9102066133356956","4913","4913","4913","0.9211518427674891","0.9211518427674891","0.9211518427674891","4913","4913","4913","0.9821922182926845","0.9821922182926845","0.9821922182926845","","","","","","","216271","216271","216271","0.988938061916709","0.988938061916709","0.988938061916709","216271","216271","216271","0.9677569121706492","0.9677569121706492","0.9677569121706492"
"14000","5095","5095","5095","0.904104129683416","0.904104129683416","0.904104129683416","5095","5095","5095","0.9293098340577277","0.9293098340577277","0.9293098340577277","5095","5095","5095","0.9702588300301749","0.9702588300301749","0.9702588300301749","","","","","","","224279","224279","224279","0.9807729953903213","0.9807729953903213","0.9807729953903213","224279","224279","224279","0.9688800179498609","0.9688800179498609","0.9688800179498609"
"14500","5277","5277","5277","0.902935535675551","0.902935535675551","0.902935535675551","5277","5277","5277","0.9252903964345659","0.9252903964345659","0.9252903964345659","5277","5277","5277","0.9718311453556057","0.9718311453556057","0.9718311453556057","","","","","","","232287","232287","232287","0.9791943567819242","0.9791943567819242","0.9791943567819242","232287","232287","232287","0.9683699824593897","0.9683699824593897","0.9683699824593897"
"15000","5459","5459","5459","0.9141282346542738","0.9141282346542738","0.9141282346542738","5459","5459","5459","0.9382234431047275","0.9382234431047275","0.9382234431047275","5459","5459","5459","0.9587917399968209","0.9587917399968209","0.9587917399968209","","","","","","","240309","240309","240309","0.9795586049358633","0.9795586049358633","0.9795586049358633","240309","240309","240309","0.9679031084066283","0.9679031084066283","0.9679031084066283"
